מסד,שם,ספק,הצגה (1 לא להציג),מחיר,מחיר מבצע,יחידה,שם תמונה,קטגוריות
663,סכין מתכלה מעץ,המכולת,,8.9,-,יחידה,סכין-מתכלה-מעץ-רעיונות-ירוקים-7-300x300.jpg,
670,צלחת עגולה גדולה מעלי דקל,המכולת,,14.5,-,יחידה,צלחת-עגולה-גדולה.png,
549,מלח הימלאיה דק במלחייה 450 גר',גלובוס מזון,,20.9,0,יחידה,תמונה חסרה לאתר.jpg,"ממרחים, זיתים ותבלינים"
320,חרדל גרגירים 145גר',גלובוס מזון,,15.9,0,יחידה,IMG_4407.JPG,"ממרחים, זיתים ותבלינים"
335,כורכום טחון אורגני,אבטליון,,16.9,0,יחידה,תבלינים.jpg,"ממרחים, זיתים ותבלינים"
99,"טחינה מלאה ניצת הדובדבן 0.5 ק""ג",ניצת הדובדבן,,15.9,0,יחידה,thina_meleaa_05.jpg,"ממרחים, זיתים ותבלינים"
101,"מלח ים אטל' דק 1 ק""ג",ניצת הדובדבן,,19.9,0,יחידה,IMG_4424.JPG,"ממרחים, זיתים ותבלינים"
634,קארי טחון אורגני 70 גר',גלובוס מזון,,16.9,0,יחידה,תבלינים.jpg,"ממרחים, זיתים ותבלינים"
635,צ'ילי טחון אורגני 70 גר',גלובוס מזון,,16.9,0,יחידה,,"ממרחים, זיתים ותבלינים"
636,קינמון טחון אורגני 70 גר',גלובוס מזון,,16.9,0,יחידה,תבלינים.jpg,"ממרחים, זיתים ותבלינים"
637,פלפל שחור טחון אורגני 70 גר',גלובוס מזון,,16.9,0,יחידה,תבלינים.jpg,"ממרחים, זיתים ותבלינים"
638,פלפל שחור אורגני במטחנה 25 גר',גלובוס מזון,,16.9,0,יחידה,תבלינים.jpg,"ממרחים, זיתים ותבלינים"
384,"טחינה מלאה ניצת הדובדבן 1 ק""ג",ניצת הדובדבן,,27.9,0,יחידה,2015-01-06 10.22.10.jpg,"ממרחים, זיתים ותבלינים"
385,"טחינה לבנה ניצת הדובדבן 1 ק""ג",אבטליון,,27.9,0,יחידה,2015-01-06 10.22.32.jpg,"ממרחים, זיתים ותבלינים"
641,שום גבישי,גלובוס מזון,,16.9,0,יחידה,תבלינים.jpg,"ממרחים, זיתים ותבלינים"
645,ציפורן אורגני,גלובוס מזון,,16.9,0,יחידה,תבלינים.jpg,"ממרחים, זיתים ותבלינים"
139,חמאת שקדים 350 גר',ניצת הדובדבן,,33.9,0,יחידה,shkedia_nitsat_h_dovdevan.jpg,"ממרחים, זיתים ותבלינים"
162,"מלח הימלאיה גס 1 ק""ג",השף האורגני,,21.9,0,יחידה,מלח הימלאיה גס.jpg,"ממרחים, זיתים ותבלינים"
226,"טחינה לבנה ניצת הדובדבן 0.5ק""ג",ניצת הדובדבן,,15.9,0,יחידה,IMG_4422.JPG,"ממרחים, זיתים ותבלינים"
553,סוכר קוקוס 500 גרם,גלובוס מזון,,18.9,18.9,יחידה,Premium-Quality-Organic-Coconut-Sugar-EU-Certified.jpg,"ממרחים, זיתים ותבלינים , רטבים, ממתיקים ומשקאות"
104,"סוכר קנים חום 1 ק""ג",ניצת הדובדבן,,10.9,0,יחידה,sukar_kanim.jpg,"ממרחים, זיתים ותבלינים , רטבים, ממתיקים ומשקאות"
595,סוכר קוקוס 250 גרם,,,9.5,0,יחידה,,"רטבים, ממתיקים ומשקאות"
604,חלב אורז - אישי 200מל,גלובוס מזון,,4.5,0,יחידה,תמונה חסרה לאתר.jpg,"רטבים, ממתיקים ומשקאות"
97,חלב אורז שקדים- Vitariz,גלובוס מזון,,13.9,0,יחידה,חלב אורז שקדים.jpg,"רטבים, ממתיקים ומשקאות"
98,חלב שיבולת שועל,גלובוס מזון,,14.5,0,יחידה,halav_shibolet_shoal.jpg,"רטבים, ממתיקים ומשקאות"
105,סילאן נאות סמדר לחיץ 400 מילי',נאות סמדר,,32.9,0,יחידה,סילאן.jpg,"רטבים, ממתיקים ומשקאות"
378,סירופ אגבה,ניצת הדובדבן,,19.9,0,יחידה,IMG_5350.JPG,"רטבים, ממתיקים ומשקאות"
152,"דבש אופיר (לא אורגני) 0.5 ק""ג",מכוורת אופיר,,25,0,יחידה,דבש אופיר קטן.JPG,"רטבים, ממתיקים ומשקאות"
153,דבש אופיר (לא אורגני) 1 קג,מכוורת אופיר,,47,0,יחידה,IMG_5368.JPG,"רטבים, ממתיקים ומשקאות"
504,נקטר אגסים -נאות סמדר,נאות סמדר,,23.9,0,יחידה,נקטר אגס.jpg,"רטבים, ממתיקים ומשקאות"
508,מי אגוז קוקוס,אבטליון,,12.5,0,יחידה,משקה קוקוס 1.jpg,"רטבים, ממתיקים ומשקאות"
564,חליטת פרחי מורינגה,אבטליון,,24.9,0,יחידה,moringa.jpg,"רטבים, ממתיקים ומשקאות , מזונות על"
169,משמש מיובש 250 גר',ניצת הדובדבן,,19.9,0,יחידה,mishmesh_miobash.jpg,פירות יבשים ואגוז
170,צימוקים 250 גר,ניצת הדובדבן,,16.5,0,יחידה,צימוקים.jpg,פירות יבשים ואגוז
173,תאנים מיובשות 300 גר',ניצת הדובדבן,,21.9,0,יחידה,teenim_meiobashot.jpg,פירות יבשים ואגוז
175,תמר מג'הול 250 גר',ניצת הדובדבן,,12.5,0,יחידה,tamar_magol.jpg,פירות יבשים ואגוז
434,קוקוס טחון אורגני 300 גר',טבע קום,,17.5,0,יחידה,קוקוס.jpg,פירות יבשים ואגוז
441,קשיו 200 גרם,ניצת הדובדבן,,25.9,0,יחידה,קשיו טבעי.jpg,פירות יבשים ואגוז
212,ערמונים בוואקום 100 גר',אורגניק זון,,9.9,0,יחידה,ערמונים.jpg,פירות יבשים ואגוז
539,"סבון עץ התה- ד""ר ברונר",,,19.9,0,יחידה,סבון עץ התה 1.jpg,מוצרי הגיינה אישית
198,תחבושות לזרימה רגילה,אורגניק זון,,28.9,0,יחידה,tahbushot_dakut_lzrima_regila.jpg,מוצרי הגיינה נשית
200,טמפון עם מוליך רגולר,אורגניק זון,,27.9,0,יחידה,tampon_whit_molih_regular.jpg,מוצרי הגיינה נשית
201,טמפון עם מוליך סופר,אורגניק זון,,27.9,0,יחידה,tampon_whit_molih_super.jpg,מוצרי הגיינה נשית
202,טמפון עם מוליך סופר פלוס,אורגניק זון,,27.9,0,יחידה,tampon_whit_molih_super_plus.jpg,מוצרי הגיינה נשית
203,טמפון ללא מוליך רגולר,אורגניק זון,,24.9,0,יחידה,tampon_lelo_molih_reguler.jpg,מוצרי הגיינה נשית
204,טמפון ללא מוליך סופר,אורגניק זון,,24.9,0,יחידה,tampon_lelo_molih_super.jpg,מוצרי הגיינה נשית
205,טמפון ללא מוליך סופר פלוס,אורגניק זון,,24.9,0,יחידה,tampon_lelo_molih_super_plus.jpg,מוצרי הגיינה נשית
129,"ריבת תות-תפוח (חדש) תוצרת הבית 300 מ""ל",השף האורגני,,28.9,,יחידה,תמונה חסרה לאתר.jpg,"ממוצרי השף , ממרחים, זיתים ותבלינים"
283,נבטוטי עדשים,וואדי ינשוף,,11.9,0,יחידה,mix (1).jpg,"נבטים, פטריות וטופו"
301,טופו קדיתא - 300 גרם,השף האורגני,,21.9,0,יחידה,IMG_4419.JPG,"נבטים, פטריות וטופו , שונות"
282,נבטי אלפלפא,וואדי ינשוף,,12.9,0,יחידה,01.jpg,"נבטים, פטריות וטופו , חסות עלים ונבטים"
28,נבטי חמניה (חמישי בלבד),וואדי ינשוף,,12.9,0,יחידה,נבטי חמניה 1.jpg,"נבטים, פטריות וטופו , חסות עלים ונבטים"
29,נבטי ברוקולי (חמישי בלבד),וואדי ינשוף,,12.9,0,יחידה,nevatim_mix.jpg,"נבטים, פטריות וטופו , חסות עלים ונבטים"
447,מיקס עדשים (נבטוטים),וואדי ינשוף,,12.9,0,יחידה,מיקס נבטוטים.jpg,"נבטים, פטריות וטופו , חסות עלים ונבטים"
627,חטיף ספירולינה אננס,אבטליון,,11.9,0,יחידה,unnamed (1).jpg,שונות
628,חטיף ספירולינה דגנים,אבטליון,,11.9,0,יחידה,unnamed (1).jpg,שונות
629,חטיף ספירולינה קוקוס,אבטליון,,11.9,0,יחידה,unnamed (1).jpg,שונות
630,חטיף ספירולינה תמר לוז ובוטנים,אבטליון,,11.9,0,יחידה,unnamed (1).jpg,שונות
520,חטיף אנרגיה משמש (ללא סוכר )- נאות סמדר,נאות סמדר,,7.5,0,יחידה,unnamed.jpg,"שונות , פירות יבשים ואגוז"
521,חטיף אנרגיה שזיף (ללא סוכר)- נאות סמדר,נאות סמדר,,7.5,0,יחידה,חטיף שזיף.jpg,"שונות , פירות יבשים ואגוז"
522,חטיף אנרגיה תמר (ללא סוכר)- נאות סמדר,נאות סמדר,,7.5,0,יחידה,חטיף תמרים.jpg,"שונות , פירות יבשים ואגוז"
421,נוזל לניקוי כללי ECOVER,אבטליון,,21.9,0,יחידה,אקובר לניקוי רצפות ומשטחים.jpg,חומרי ניקוי אקולוגיים
422,נוזל ניקוי אסלות ECOVER,אבטליון,,19.9,0,יחידה,ניקוי אסלות אקובר.jpg,חומרי ניקוי אקולוגיים
423,תרסיס לניקוי משטחים ECOVER,אבטליון,,25.9,22,יחידה,אקובר תרסיס משטחים.jpg,חומרי ניקוי אקולוגיים
444,טבליות למדיח כלים 25 יח',אורגניק זון,,37.9,0,יחידה,אקובר טבליות למדיח.jpg,חומרי ניקוי אקולוגיים
95,חיטה מלאה 500 גר',ניצת הדובדבן,,7,0,יחידה,חיטה מלאה.jpg,קטניות דגנים וזרעים
103,שעועית מש 500 גר',ניצת הדובדבן,,12.5,0,יחידה,msh_05.jpg,קטניות דגנים וזרעים
110,"פופקורן 0.5 ק""ג",ניצת הדובדבן,,10.9,0,יחידה,popkorn.jpg,קטניות דגנים וזרעים
120,קוסקוס מלא 500 גר',ניצת הדובדבן,,13.9,0,יחידה,קוסקוס מלא.jpg,קטניות דגנים וזרעים
121,קינואה לבנה 500 גר',ניצת הדובדבן,,18.9,0,יחידה,kinoaa_05.jpg,קטניות דגנים וזרעים
137,שעועית לבנה 500 גר',ניצת הדובדבן,,9.9,0,יחידה,shoit_levana.jpg,קטניות דגנים וזרעים
649,עדשים צהובות,ניצת הדובדבן,,14.8,0,יחידה,,קטניות דגנים וזרעים
138,שעועית שחורה 500 גר',ניצת הדובדבן,,13,0,יחידה,shoit_shhora.jpg,קטניות דגנים וזרעים
164,גרעיני דלעת אורגני קלופים 300 גר',ניצת הדובדבן,,22.9,0,יחידה,gariney_dlaat.jpg,קטניות דגנים וזרעים
165,גרעיני חמניה 300 גר',ניצת הדובדבן,,12.9,0,יחידה,garinei_hamania.jpg,קטניות דגנים וזרעים
166,זרעי פשתן 500 גר',ניצת הדובדבן,,13.9,0,יחידה,zirei_pishtan.jpg,קטניות דגנים וזרעים
171,שומשום מלא 200 גר,ניצת הדובדבן,,8,0,יחידה,sumsum_mal.jpg,קטניות דגנים וזרעים
458,כוסמת ירוקה 500 גר',ניצת הדובדבן,,6.9,0,יחידה,כוסמת ירוקה.jpg,קטניות דגנים וזרעים
168,זרעי צ'יה שחורה 190 גר',ניצת הדובדבן,,14.9,0,יחידה,zirei_tsia.jpg,"קטניות דגנים וזרעים , מזונות על"
410,פולי קקאו נא 150 גר',אבטליון,,23.9,0,יחידה,פולי קקאו.jpg,מזונות על
411,קקאו ניבס (שבבים) 150גר',אבטליון,,31.9,0,יחידה,bigstock-Raw-Cacao-40955347.jpg,מזונות על
412,אבקת קקאו נא 100 גרם,השף האורגני,,17.9,0,יחידה,bigstock-cocoa-powder-isolated-22425995.jpg,מזונות על
453,ספירולינה טריה קפואה,אבטליון,,48.9,0,יחידה,ספירולינה חדשה.jpg,מזונות על
496,ספירולינה גרגירים 100 גר',אבטליון,,70,0,יחידה,ספירולינה יבשה.png,מזונות על
594,פסטה עדשים אדומות,,,16.9,0,יחידה,תמונה חסרה לאתר.jpg,פסטה
605,נודלס מאורז תאילנדי - השדה,אבטליון,,12.9,10.9,יחידה,אטריות-אורגניות-מאורז-תאילנדי-השדה.jpg,פסטה
613,נודלס אורז חום,אבטליון,,12.9,10.9,יחידה,תמונה חסרה לאתר.jpg,פסטה
614,נודלס 100% כוסמת,אבטליון,,13.7,0,יחידה,תמונה חסרה לאתר.jpg,פסטה
114,פסטה - ספגטי חיטה מלאה,ניצת הדובדבן,,10.9,0,יחידה,pasta_hita_melaa.jpg,פסטה
115,פסטה - ספגטי כוסמין,ניצת הדובדבן,,19.9,0,יחידה,pasta_kosmin.jpg,פסטה
116,פסטה - ספגטי לבן,ניצת הדובדבן,,10.9,0,יחידה,pasta_regila.jpg,פסטה
118,פסטה - פנה לבן,ניצת הדובדבן,,10.9,0,יחידה,pasta_pene.jpg,פסטה
486,פסטה אורז- תירס 340 גר',גלובוס מזון,,14.9,0,יחידה,פסטה.jpg,פסטה
545,קמח טף,אבטליון,,29.9,23.9,יחידה,quemaj tef.jpg,קמחים
363,קמח חומוס,אבטליון,,29.9,23.9,יחידה,IMG_5361.JPG,קמחים
122,קמח חיטה מלאה,משק נוב,,11.8,0,יחידה,kemah_hita_melaa.jpg,קמחים
123,קמח חיטה מלאה 70/30,משק נוב,,13.5,10.9,יחידה,kemah_hita_melaa_7030.jpg,קמחים
