מסד,שם,ספק,הצגה (1 לא להציג),מחיר,מחיר מבצע,יחידה,שם תמונה,קטגוריות
125,קמח כוסמין מלא,משק נוב,,25.9,20.9,יחידה,kemah_kosmin_male.jpg,קמחים
467,קמח עדשים כתומות,אבטליון,,31.9,25.9,יחידה,קמח עדשים אדומות.jpg,קמחים
63,בננה קפואה (800גרם נטו),יבולי בר,,19.9,0,יחידה וקילו,bannana.jpg,גלידות וקפואים
578,גלידה ILO שוקולד אישי,,,13.9,0,יחידה,glida chocolate.jpg,"גלידות וקפואים , מקרר השף"
580,גלידה ILO פאי לימון אישי,,,13.9,0,יחידה,glida limon.jpg,"גלידות וקפואים , מקרר השף"
586,גלידה ILO וניל קוקוס אישי,,,13.9,0,יחידה,glida kokus.jpg,"גלידות וקפואים , מקרר השף"
653,כוסות אפייה 60 יח,,,12.5,-,יחידה,כוסות-אפייה-if-you-care.png,כלים מתכלים
655,כוסות מתכלות לשתייה חמה,המכולת,,15.9,-,יחידה,כוסות-מתכלות-לשתיה-חמה-300x300.png,כלים מתכלים
656,כוסות מתכלות לשתייה קרה,המכולת,,10.9,-,יחידה,כוסות-מתכלות-לשתיה-קרה-300x300.png,כלים מתכלים
657,כוסות מתכלות מקנה סוכר,המכולת,,12.9,-,יחידה,,כלים מתכלים
658,כף מתכלה מעץ,המכולת,,7.9,-,יחידה,kaf-1-210x210.png,כלים מתכלים
659,כפות מתכלות כלים ירוקים,המכולת,,7.5,-,יחידה,כפות-נט-פארם-300x300.jpg,כלים מתכלים
660,כפות מעמילן תירס,המכולת,,18.9,-,יחידה,,כלים מתכלים
661,מזלג מתכלה מעץ,המכולת,,8.9,-,יחידה,מזלג-מתכלה-רעיונות-ירוקים-1-300x300.jpg,כלים מתכלים
662,נייר אפייה טבעי מתכלה,המכולת,,23.5,-,יחידה,נייר-אפייה-if-you-care-2.jpg,כלים מתכלים
664,סכינים מתכלים כלים ירוקים,המכולת,,7.5,-,יחידה,סכין-מתכלה-נט-פארם-300x300.jpg,כלים מתכלים
665,צלחת מרובעת מעלי דקל,המכולת,,16.5,-,יחידה,צלחת-מרובעת-רעיונות-ירוקים-2 (1).jpg,כלים מתכלים
666,צלחת מרובעת מקנה סוכר,המכולת,,15.9,-,יחידה,צלחת-מרובעת-מקנה-סוכר-אקולוגי.png,כלים מתכלים
667,מיני צלחת מרובעת מעלי דקל,המכולת,,13.9,-,יחידה,צלחת-מרובעת-מיני.png,כלים מתכלים
668,צלחת מרובעת קטנה מעלי דקל,המכולת,,14.7,-,יחידה,,כלים מתכלים
669,צלחת עגולה גדולה מעוטרת,המכולת,,18.9,-,יחידה,,כלים מתכלים
671,צלחת עגולה מעלי דקל,המכולת,,13.5,-,יחידה,צלחת-עגולה.png,כלים מתכלים
672,צלחת עגולה קטנה מעוטרת מקנה סוכר,המכולת,,11,-,יחידה,,כלים מתכלים
673,צלחת עגולה קטנה מקנה סוכר,המכולת,,15.9,-,יחידה,,כלים מתכלים
674,קערה עגולה קטנה מעלי דקל,המכולת,,15.9,-,יחידה,קערה-עמוקה.png,כלים מתכלים
675,רדיד אלומיניום ממוחזר,המכולת,,22.9,-,יחידה,נייר-אלומיניום-ממוחזר.png,כלים מתכלים
676,שקיות אוכל מנייר,המכולת,,22.3,-,יחידה,שקיות-אוכל-if-you-care-1.png,כלים מתכלים
607,גבינת שמנת טבעונית בטעם קלאסי,אבטליון,,18.9,0,יחידה,תמונה חסרה לאתר.jpg,מקרר השף
609,גבינה צהובה טבעונית בטעם קלאסי,אבטליון,,24.9,0,יחידה,תמונה חסרה לאתר.jpg,מקרר השף
610,גבינה צהובה טבעונית לגירוד,אבטליון,,17.9,0,יחידה,תמונה חסרה לאתר.jpg,מקרר השף
611,גבינה צהובה טבעונית בטעם מוצרלה,אבטליון,,24.9,0,יחידה,תמונה חסרה לאתר.jpg,מקרר השף
590,ספירולינה קפואה,,,48.9,0,יחידה,תמונה חסרה לאתר.jpg,"מקרר השף , גלידות וקפואים"
616,אצות נורי לסושי,,,14.9,0,יחידה,תמונה חסרה לאתר.jpg,מכולת
618,חטיף אצות,,,6.9,0,יחידה,חטיף אצות.jpg,מכולת
643,סמוצי'י תפוח רימון פטל אוכמניות ואסאי,גלובוס מזון,,6.9,0,יחידה,סמוצ'י 100.jpg,מכולת
414,סמוצ'י (רסק) תפוחים,גלובוס מזון,,5.9,0,יחידה,2015-01-06 10.19.02.jpg,מכולת
415,סמוצ'י (רסק) פירות יער,גלובוס מזון,,5.9,0,יחידה,2015-01-06 10.19.02.jpg,מכולת
480,סמוצ'י (רסק) תפוח אפרסק מנגו,אבטליון,,5.9,0,יחידה,סמוצ'י 100.jpg,מכולת
489,סמוצ'י (רסק) תפוח בננה,גלובוס מזון,,5.9,0,יחידה,סמוצ'י 100.jpg,מכולת
626,חטיף אנרגיה תמר קוקוס (ללא סוכר) - נאות סמדר,נאות סמדר,,7.5,0,יחידה,,שונות
644,סמוצ'י אגס בננה תפוח וקינואה,גלובוס מזון,,6.9,0,יחידה,,שונות
325,זוג רסק עגבניות 330 מיל',ניצת הדובדבן,,17.9,0,יחידה,IMG_4400.JPG,"רסקים, שמנים, חומץ וביצים"
94,חומץ תפוחים אורגני 1 ל',גלובוס מזון,,19.9,0,יחידה,hometz_tapohim.jpg,"רסקים, שמנים, חומץ וביצים"
136,"שמן קוקוס 473מ""ל",טבע קום,,43.9,0,יחידה,shemen_kukos.jpg,"רסקים, שמנים, חומץ וביצים"
428,"שמנת אורז לבישול 200 מ""ל",גלובוס מזון,,11.9,0,יחידה,שמנת אורז לבישול 1010.jpg,"רסקים, שמנים, חומץ וביצים"
433,"קרם קוקוס 400 מ""ל אורגני",טבע קום,,14.9,0,יחידה,קרם קוקוס אורגני 1.jpg,"רסקים, שמנים, חומץ וביצים"
488,רסק תפוחים שישייה,גלובוס מזון,,26.9,0,יחידה,רסק תפוחים.jpg,"רסקים, שמנים, חומץ וביצים"
253,"שמן קוקוס 946מ""ל",טבע קום,,83.9,0,יחידה,shemen_kukos (1) גדול.jpg,"רסקים, שמנים, חומץ וביצים"
377,קטשופ תבואות,ניצת הדובדבן,,25.9,0,יחידה,IMG_5356.JPG,"רסקים, שמנים, חומץ וביצים , ממרחים, זיתים ותבלינים"
