הירק,מחיר,"ק""ג",יחידות,"סה""כ",אריזה
אבוקדו אטינגר,17.3,יפים מאד,,,קג
אגוזי פקאן,17,,,,"אריזה של 500 גר. טובים מאוד! ,לא מקולפים"
בצל ירוק,4.5,,,,מוגבל ל4 יח
חסה ערבית,4.5,,,,10 יחידות מקסימום
ליים,6.5,,,,קג
לימון,5.2,,,,קג
מיקס ביבי,7.3,,,,נספק
מיקס חסה,8.2,,,,נספק
מלפפון,9,,,,מוגבל ל 10 קג
נענע,3.3,,,,צרור
שרי תמר,8,,,,0.5 קג
