שם, מחיר, קוד
אורז בסמטי לבן הרדוף 500 ג, 16.5, 10
אורז חום מלא עגול הרדוף 1 קג, 21.2, 10
אורז חום מלא ארוך הרדוף 1 קג, 21.2, 10
אורז בסמטי חום הרדוף 500 ג, 14.9, 10
תערובת קטניות אורגניות למרק תבואות 500 ג, 16.5, 10
אורז בשמתי מלא תבואות 1 קג, 18.8, 10
קינואה רויאל תבואות 1 קג, 26.5, 10
קינואה רויאל תבואות 500 ג, 14.9, 10
קינואה טריו תבואות 500 ג, 20.9, 10
קינואה אדומה תבואות 500 ג, 19.9, 10
גריסי פנינה תבואות 500 ג, 9.9, 10
קינואה שחורה תבואות 500 ג, 25.6, 10
מגדרה אורגנית קינואה תבואות 500 ג, 19.8, 10
מגדרה תבואות 500 ג, 16.5, 10
גרעיני דלעת קלופים תבואות 300 ג, 20.6, 10
כוסמת תבואות 500 ג, 9.9, 10
שעועית שחורה תבואות 500 ג, 11.9, 10
אורז בשמתי מלא תבואות 500 ג, 11.9, 10
עדשים שחורות תבואות 500 ג, 17.5, 10
עדשים חומות תבואות 500 ג, 13.5, 10
שעועית מנומרת תבואות 500 ג, 12.4, 10
עדשים אדומות תבואות 500 ג, 13.3, 10
שעועיות תבואות 500 ג, 14.4, 10
שעועית לבנה תבואות 500 ג, 11.6, 10
עדשים ירוקות תבואות 500 ג, 14.9, 10
שעועית מש תבואות 500 ג, 14.1, 10
גריסי שיבולת שועל תבואות 500 ג, 11.5, 10
חיטה מלאה תבואות 1 קג, 12.9, 10
אורז בשמתי לבן תבואות 1 קג, 18.9, 10
אורז פרא מעורב תבואות 1 קג, 16.8, 10
אורז אדום אסיאתי תבואות 1 קג, 18.5, 10
אורז עגול מלא תבואות 500 ג, 11.2, 10
אורז פרא מעורב תבואות 500 ג, 18.9, 10
אורז אדום תבואות 500 ג, 17.9, 10
אורז בשמתי לבן תבואות 500 ג, 11.5, 10
שומשום שחור תבואות 400 ג, 14.9, 10
פשתן זהב תבואות 500 ג, 13, 10
זרעי פשתן תבואות 500 ג, 10.8, 10
דוחן מקולף תבואות 500 ג, 11.9, 10
חומוס אורגני תבואות 500 ג, 13.3, 10
חמניות קלופות תבואות 300 ג, 11.5, 10
בורגול מלא תבואות 500 ג, 9.5, 10
קוסקוס מלא תבואות 500 ג, 12.9, 10
שמן קוקוס green coco ליטר 1, 55, 10
מבצע  VITARIZ חלב אורז 10 ב125 ליחידה , 12.5, 10
כלי רחצה כליל 15% הנחה, 2, 10
חלב אורז שקדים 1 ליטר VITARIZ, 13.5, 10
מלח ים אטלנטי 1 קג, 20.4, 10
מי קוקוס 330 מל Green coco, 8.5, 10
מעדן אורז ויטריז, 8.9, 10
סבון אינטימי לבידו  עץ התה ולבנדר, 75.9, 10
שמפו רוזמרין לבידו, 49, 10
סבון גוף ארומתרפי, 69, 10
סבון כליל, 24, 10
מרכך כליל, 26.8, 10
שמפו לבנדר כליל, 26.8, 10
שמפו הדרים כליל, 24.9, 10
משחת שיניים עם מלח ים Dr Hauschka, 39, 10
אצות ווקמי, 34.5, 10
שמן קוקוס 1 ל ONE TRIBE, 64.9, 10
ביסקידס  ביסקוויט לתינוקות 150 ג, 14.9, 10
קטשוף הרדוף, 19.5, 10
מייפל 330 ג DECACER, 32.9, 10
פסטה אורגנית pasta toscana, 6.9, 10
12 יח משקה קוקוס דה קוקו, 80, 10
הגן הנעלם, 1, 10
חלב אורז אגוזי לוז alpro, 15.1, 10
מגבונים botany, 12.5, 10
משקה קוקוס 330 ג דה קוקו, 8, 10
קטשופ 567 מל השדה, 19.5, 10
לחם מחמצת קמח שיפון מלא טאוברד, 17.9, 10
קמח מצה מלא 500 ג השדה, 26.9, 10
סבון אמיתי מוצק Dr Bronner\'s, 16.5, 10
קמח מצה מכוסמין 500 ג השדה, 29.9, 10
מצה מקמח מלא 400 ג אביב, 25, 10
סבון אמיתי Dr BRONNER’S, 36.8, 10
תערובת חיידקים פרוביוטיים GRAMSE, 112, 10
חליטת עלי פטל 50 ג- עלעלים, 12.8, 10
דגני בוקר 400 ג NATURE\'S PATH, 22, 10
אטריות 250 ג השדה, 12.5, 10
