שם, מחיר, קוד
10 יח חלב אורז שקדים 1 ל VITARIZ,135,10
10 יח חלב אורז 1 ל VITARIZ,135,10
4 יח מונבטים,100,10
10 יח חלב אורז אגוזי לוז,159,10
3 יח מגבונים ,26.7,10
2 יח סבון ידיים אקולאב,45.8,10
מבצע  VITARIZ חלב אורז 10 ב125 ליחידה ,12.5,10
2 יח\ שמפו לובליס,53,10
2 יח שמן קוקוס 1 ליטר Green Coco,110,10
